cohort,role,n,events,comparable_pairs,C_B0_fixed,C_B1_fixed,delta_C,interval_lower,interval_upper,interval_label,decision
Greek,primary target cohort under amended G11 plan,61,45,1637,0.6136224801466097,0.5919364691508857,-0.02168601099572398,-0.0640426761828849,0.020918298917445496,percentile 95% CI,NO_INCREMENT_OR_HARM
UQ,secondary descriptive stress test only,19,18,162,0.6697530864197531,0.6296296296296297,-0.04012345679012341,-0.1558493258334023,0.08824980650154793,exploratory percentile 95% interval,DESCRIPTIVE_ONLY_N20_GATE_FAILED
