replicate,delta_C
1,-0.007673419275629145
2,-0.024301336573511523
3,0.019265502709211346
4,-0.034931912374185914
5,-0.026627218934911268
6,-0.011124845488257207
7,-0.0032133676092545027
8,0.0015160703456640334
9,-0.022816166883963485
10,-0.0018679950186799577
11,-0.022727272727272707
12,-0.04221388367729828
13,-0.03125
14,-0.044542772861356994
15,-0.05878284923928079
16,-0.049734748010610064
17,-0.04234417344173447
18,-0.01934889434889442
19,-0.00966767371601207
20,-0.01797175866495515
21,-0.019949335022165893
22,-0.025336754329698508
23,-0.05297397769516732
24,-0.03782991202346042
25,-0.021882494004796138
26,0.0
27,-0.018608907870652835
28,0.0040322580645161255
29,-0.003252513305736282
30,0.01606922126081578
31,-0.03944174757281549
32,-0.006449631449631399
33,0.012748756218905477
34,-0.008854781582054327
35,-0.0248565965583174
36,0.005507955936352449
37,-0.018815545959284474
38,-0.005040957781978661
39,-0.017701683110853184
40,-0.024174528301886822
41,-0.0021289537712896323
42,-0.04414527238572319
43,0.00863095238095235
44,-0.0693677102516882
45,-0.05306246209824139
46,-0.029248768472906472
47,-0.011118170266836036
48,-0.05330423940149631
49,-0.06685323383084574
50,-0.013702801461632164
51,-0.041810642709053214
52,0.0008715862870424251
53,-0.02832512315270941
54,-0.01433801098230636
55,0.039138349514563076
56,-0.02027429934406677
57,-0.03645200486026734
58,-0.030456852791878153
59,0.0009316770186335033
60,-0.022235948116121063
61,-0.0191502094554159
62,-0.02453195610071013
63,-0.026719901719901684
64,-0.03721682847896435
65,-0.033083645443196086
66,-0.04082876294942106
67,-0.022959183673469385
68,-0.0069356872635560896
69,-0.036245353159851335
70,-0.024702939337085672
71,0.003929273084479434
72,-0.03731815306767872
73,0.0174621653084982
74,-0.031841109709962234
75,-0.017586416009702788
76,-0.0376838235294118
77,-0.03235470341521862
78,0.021283783783783816
79,-0.004836309523809534
80,-0.04219030520646316
81,0.0003419972640218427
82,-0.041871921182266014
83,-0.01877649909145973
84,-0.005674653215636871
85,-0.007477243172951842
86,-0.03335392217418154
87,-0.018250688705234164
88,-0.032990314769975826
89,0.026331904470300094
90,-0.02051901025950509
91,-0.0026595744680850686
92,-0.02941176470588236
93,-0.050608584240871224
94,0.012820512820512775
95,-0.0421914357682619
96,0.026796973518284917
97,-0.0019788918205804196
98,-0.029581993569131937
99,-0.02088772845953002
100,-0.030322580645161357
101,-0.054987212276214836
102,-0.05353788353162181
103,0.008127633955448466
104,-0.00537294563843238
105,-0.04644808743169393
106,-0.03229737964655699
107,-0.035438144329897
108,-0.025656324582338907
109,0.007181942544459585
110,-0.051305970149253644
111,-0.0056962025316456
112,-0.011044176706827225
113,-0.019050410316529875
114,-0.008064516129032251
115,-0.027761542957334906
116,-0.023687580025608224
117,-0.013522012578616405
118,-0.016568047337278125
119,-0.024144254278728572
120,-0.03107165504121745
121,-0.032209512341962676
122,-0.022063595068137487
123,-0.05668144395186825
124,-0.035301278149726056
125,-0.019169329073482344
126,-0.012640449438202195
127,-0.09144350097975185
128,-0.023648648648648685
129,-0.0063856960408684715
130,-0.010178117048346036
131,-0.009286128845037767
132,-0.009113764927718426
133,-0.043765743073047925
134,0.009428032683846621
135,-0.04798127559976595
136,-0.03183520599250944
137,-0.028103767757875153
138,-0.02055587724377539
139,-0.028543938422065485
140,-0.01299093655589123
141,0.011027278003482244
142,-0.04915560916767181
143,-0.02479892761394098
144,-0.02768936982813497
145,0.008095854922279822
