replicate,delta_C
251,0.10389610389610393
252,-0.027586206896551668
253,0.043624161073825496
254,-0.08783783783783783
255,-0.04140127388535031
256,-0.053459119496855334
257,0.006451612903225823
258,-0.023178807947019875
259,-0.046052631578947345
260,-0.11290322580645162
261,-0.024691358024691357
262,-0.06493506493506496
263,-0.10691823899371067
264,-0.06774193548387097
265,-0.0679012345679012
266,-0.11858974358974361
267,0.03125
268,-0.01552795031055898
269,0.10197368421052633
270,-0.08582089552238803
271,-0.03642384105960261
272,-0.1487341772151899
273,0.11875000000000002
274,-0.06410256410256421
275,-0.0993788819875776
276,-0.1925465838509317
277,-0.010273972602739767
278,0.021739130434782594
279,-0.07741935483870965
280,-0.018867924528301883
281,-0.09627329192546585
282,-0.10064935064935066
283,0.0
284,-0.06907894736842102
285,-0.038461538461538436
286,-0.06382978723404253
287,0.016666666666666607
288,0.0
289,-0.06209150326797386
290,-0.039215686274509776
291,-0.012499999999999956
292,-0.08441558441558439
293,-0.03571428571428581
294,-0.10576923076923073
295,-0.07371794871794879
296,-0.06666666666666676
297,-0.08653846153846156
298,-0.08750000000000002
299,0.00967741935483879
300,-0.02631578947368418
301,-0.022012578616352196
302,0.03870967741935483
303,-0.0033112582781457123
304,-0.06168831168831168
305,0.03618421052631571
306,0.006896551724137834
307,-0.04746835443037967
308,-0.0390625
309,-0.03205128205128205
310,0.058441558441558406
311,-0.04320987654320996
312,0.06756756756756754
313,-0.07232704402515722
314,-0.13461538461538458
315,-0.07051282051282048
316,-0.016233766233766267
317,-0.1572327044025157
318,-0.05769230769230771
319,-0.02941176470588236
320,-0.026717557251908386
321,-0.09935897435897434
322,-0.006250000000000089
323,-0.08227848101265822
324,-0.016778523489932917
325,-0.043749999999999956
326,-0.08275862068965523
327,0.0071428571428571175
328,0.0
329,-0.08805031446540879
330,-0.10897435897435892
331,0.0062893081761006275
332,-0.023178807947019875
333,-0.04014598540145986
334,-0.07500000000000007
335,-0.04635761589403964
336,-0.048872180451127845
337,-0.05592105263157898
338,-0.09933774834437081
339,-0.022292993630573243
340,0.051948051948051965
341,-0.13157894736842107
342,-0.12101910828025475
343,-0.1064516129032258
344,0.019736842105263164
345,-0.03191489361702127
346,-0.1273885350318471
347,-0.09554140127388533
348,0.13375796178343957
349,-0.053459119496855334
350,-0.022580645161290325
351,0.04304635761589404
352,0.10389610389610393
353,-0.0816993464052288
354,-0.009933774834437026
355,0.044303797468354444
356,-0.04109589041095896
357,-0.054487179487179405
358,-0.07931034482758625
359,-0.18589743589743585
360,-0.13486842105263164
361,-0.05590062111801242
362,-0.09712230215827333
363,0.0
364,-0.022012578616352196
365,-0.09210526315789469
366,-0.028301886792452824
367,-0.046875
368,-0.033333333333333326
369,-0.07931034482758625
370,-0.07718120805369133
371,-0.15584415584415579
372,-0.042763157894736836
373,-0.09271523178807939
374,-0.006535947712418277
375,-0.053459119496855334
376,0.013245033112582738
377,0.023178807947019875
378,0.03870967741935483
379,-0.11486486486486491
380,-0.04516129032258065
381,0.0031446540880503138
382,-0.05673758865248224
383,0.05828220858895705
384,-0.06000000000000005
385,-0.09235668789808915
386,-0.037267080745341574
387,-0.022435897435897356
388,-0.05136986301369861
389,-0.1474358974358974
390,-0.03548387096774186
391,-0.01655629139072845
392,-0.14102564102564097
393,-0.010067114093959662
394,-0.018750000000000044
395,-0.04304635761589404
396,-0.012500000000000067
397,0.016339869281045805
398,-0.07894736842105265
399,-0.05660377358490565
400,-0.006451612903225712
401,-0.043749999999999956
402,-0.037735849056603765
403,-0.07187500000000002
404,0.06329113924050633
405,-0.12903225806451613
406,-0.018867924528301883
407,-0.05214723926380371
408,-0.053333333333333344
409,0.0
410,-0.10855263157894735
411,-0.08064516129032262
412,-0.023489932885906062
413,-0.056291390728476776
414,-0.10509554140127386
415,-0.043749999999999956
416,-0.022292993630573243
417,-0.12765957446808507
418,-0.10509554140127386
419,0.07692307692307687
420,0.009933774834437137
421,-0.03164556962025311
422,-0.006493506493506551
423,0.06953642384105962
424,-0.19871794871794868
425,0.11513157894736847
426,-0.04807692307692313
427,0.03716216216216217
428,-0.0273972602739726
429,-0.01602564102564108
430,-0.05517241379310345
431,-0.11290322580645162
432,-0.05414012738853502
433,-0.03416149068322982
434,-0.14240506329113928
435,-0.0064102564102563875
436,-0.01655629139072845
437,-0.14935064935064934
438,0.07096774193548383
439,-0.10457516339869277
440,-0.07236842105263153
441,-0.049342105263157854
442,-0.052795031055900554
443,-0.046052631578947345
444,-0.024691358024691357
445,-0.0911949685534591
446,-0.043209876543209846
447,-0.017006802721088454
448,-0.04166666666666663
449,-0.08441558441558444
450,-0.02515723270440251
451,0.08227848101265822
452,-0.08860759493670889
453,-0.010135135135135198
454,-0.052287581699346386
455,-0.047770700636942665
456,-0.1273291925465838
457,-0.0457317073170731
458,-0.0714285714285714
459,0.006172839506172867
460,-0.02684563758389269
461,-0.05633802816901412
462,-0.060509554140127375
463,-0.02941176470588236
464,-0.060126582278481
465,0.038461538461538436
466,-0.0641025641025641
467,-0.0071428571428571175
468,0.00649350649350644
469,0.009554140127388533
470,-0.06874999999999998
471,-0.03900709219858156
472,-0.06289308176100628
473,-0.14150943396226412
474,-0.15189873417721522
